sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKMetadataKeySyncIdentifier,HKMetadataKeySyncVersion
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:57:41 +0000,2023-05-05 21:58:11 +0000,mi,0.11210417234000498,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:58:11 +0000,2023-05-05 21:58:42 +0000,mi,0.09988948705955406,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:58:42 +0000,2023-05-05 21:59:12 +0000,mi,0.011009314860398557,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:59:18 +0000,2023-05-05 21:59:48 +0000,mi,0.030558236000070446,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:59:48 +0000,2023-05-05 22:00:17 +0000,mi,0.014138819674334934,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:00:17 +0000,2023-05-05 22:00:47 +0000,mi,0.07632616069224632,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:00:47 +0000,2023-05-05 22:01:17 +0000,mi,0.06194494661499468,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:01:17 +0000,2023-05-05 22:01:47 +0000,mi,0.1342936163694428,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:01:47 +0000,2023-05-05 22:02:17 +0000,mi,0.14861910727883101,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:02:17 +0000,2023-05-05 22:02:47 +0000,mi,0.14121407941369862,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:02:47 +0000,2023-05-05 22:03:17 +0000,mi,0.1484067029002307,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:03:17 +0000,2023-05-05 22:03:47 +0000,mi,0.13834334403900186,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:03:47 +0000,2023-05-05 22:04:17 +0000,mi,0.1352813577926081,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:04:17 +0000,2023-05-05 22:04:47 +0000,mi,0.10852171204077272,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:04:47 +0000,2023-05-05 22:05:17 +0000,mi,0.06657812101317336,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:05:17 +0000,2023-05-05 22:05:47 +0000,mi,0.008916061229736462,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:05:47 +0000,2023-05-05 22:06:17 +0000,mi,0.01714649488324682,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:06:17 +0000,2023-05-05 22:06:47 +0000,mi,0.09132948449472116,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:06:47 +0000,2023-05-05 22:07:17 +0000,mi,0.0788274862476523,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:07:17 +0000,2023-05-05 22:07:47 +0000,mi,0.010320973592577911,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:07:50 +0000,2023-05-05 22:08:20 +0000,mi,0.01289138855470699,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:08:20 +0000,2023-05-05 22:08:50 +0000,mi,0.07629252285241961,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:08:50 +0000,2023-05-05 22:09:18 +0000,mi,0.045210765084536156,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:09:22 +0000,2023-05-05 22:09:52 +0000,mi,0.055104755729241214,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:09:52 +0000,2023-05-05 22:10:22 +0000,mi,0.057712981654205894,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:10:22 +0000,2023-05-05 22:10:52 +0000,mi,0.013346030977057064,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:10:52 +0000,2023-05-05 22:11:22 +0000,mi,0.00932794041726349,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:11:22 +0000,2023-05-05 22:11:51 +0000,mi,0.012860211133092254,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 22:11:53 +0000,2023-05-05 22:12:23 +0000,mi,0.021934826228547935,,
